date,TICKER,INDEXNAME,DURATION,daily_value
2022-08-08,MELI,Mercado Libre Transaction Index,Daily,0.14824600081010983
2022-08-09,MELI,Mercado Libre Transaction Index,Daily,0.14811273582726545
2022-08-10,MELI,Mercado Libre Transaction Index,Daily,0.14797947084442106
2022-08-11,MELI,Mercado Libre Transaction Index,Daily,0.14784620586157665
2022-08-12,MELI,Mercado Libre Transaction Index,Daily,0.14771294087873227
2022-08-15,MELI,Mercado Libre Transaction Index,Daily,0.14757967589588786
2022-08-16,MELI,Mercado Libre Transaction Index,Daily,0.14744641091304347
2022-08-17,MELI,Mercado Libre Transaction Index,Daily,0.1473131459301991
2022-08-18,MELI,Mercado Libre Transaction Index,Daily,0.14717988094735468
2022-08-19,MELI,Mercado Libre Transaction Index,Daily,0.1470466159645103
2022-08-22,MELI,Mercado Libre Transaction Index,Daily,0.14691335098166589
2022-08-23,MELI,Mercado Libre Transaction Index,Daily,0.14678008599882153
2022-08-24,MELI,Mercado Libre Transaction Index,Daily,0.14664682101597712
2022-08-25,MELI,Mercado Libre Transaction Index,Daily,0.14651355603313274
2022-08-26,MELI,Mercado Libre Transaction Index,Daily,0.14638029105028835
2022-08-29,MELI,Mercado Libre Transaction Index,Daily,0.14624702606744394
2022-08-30,MELI,Mercado Libre Transaction Index,Daily,0.14611376108459956
2022-08-31,MELI,Mercado Libre Transaction Index,Daily,0.14598049610175517
2022-09-01,MELI,Mercado Libre Transaction Index,Daily,0.17653514449196417
2022-09-02,MELI,Mercado Libre Transaction Index,Daily,0.17575092646181534
2022-09-06,MELI,Mercado Libre Transaction Index,Daily,0.17496670843166656
2022-09-07,MELI,Mercado Libre Transaction Index,Daily,0.17418249040151776
2022-09-08,MELI,Mercado Libre Transaction Index,Daily,0.17339827237136898
2022-09-09,MELI,Mercado Libre Transaction Index,Daily,0.17261405434122015
2022-09-12,MELI,Mercado Libre Transaction Index,Daily,0.17182983631107135
2022-09-13,MELI,Mercado Libre Transaction Index,Daily,0.17104561828092257
2022-09-14,MELI,Mercado Libre Transaction Index,Daily,0.17026140025077377
2022-09-15,MELI,Mercado Libre Transaction Index,Daily,0.169477182220625
2022-09-16,MELI,Mercado Libre Transaction Index,Daily,0.16869296419047616
2022-09-19,MELI,Mercado Libre Transaction Index,Daily,0.16790874616032736
2022-09-20,MELI,Mercado Libre Transaction Index,Daily,0.16712452813017858
2022-09-21,MELI,Mercado Libre Transaction Index,Daily,0.16634031010002978
2022-09-22,MELI,Mercado Libre Transaction Index,Daily,0.165556092069881
2022-09-23,MELI,Mercado Libre Transaction Index,Daily,0.16477187403973217
2022-09-26,MELI,Mercado Libre Transaction Index,Daily,0.16398765600958337
2022-09-27,MELI,Mercado Libre Transaction Index,Daily,0.1632034379794346
2022-09-28,MELI,Mercado Libre Transaction Index,Daily,0.1624192199492858
2022-09-29,MELI,Mercado Libre Transaction Index,Daily,0.16163500191913702
2022-09-30,MELI,Mercado Libre Transaction Index,Daily,0.1608507838889882
2022-10-03,MELI,Mercado Libre Transaction Index,Daily,0.1346548214615571
2022-10-04,MELI,Mercado Libre Transaction Index,Daily,0.13808703944981424
2022-10-05,MELI,Mercado Libre Transaction Index,Daily,0.1415192574380714
2022-10-06,MELI,Mercado Libre Transaction Index,Daily,0.14495147542632852
2022-10-07,MELI,Mercado Libre Transaction Index,Daily,0.14838369341458568
2022-10-11,MELI,Mercado Libre Transaction Index,Daily,0.1518159114028428
2022-10-12,MELI,Mercado Libre Transaction Index,Daily,0.15524812939109997
2022-10-13,MELI,Mercado Libre Transaction Index,Daily,0.15868034737935713
2022-10-14,MELI,Mercado Libre Transaction Index,Daily,0.1621125653676143
2022-10-17,MELI,Mercado Libre Transaction Index,Daily,0.16554478335587142
2022-10-18,MELI,Mercado Libre Transaction Index,Daily,0.16897700134412857
2022-10-19,MELI,Mercado Libre Transaction Index,Daily,0.1724092193323857
2022-10-20,MELI,Mercado Libre Transaction Index,Daily,0.17584143732064286
2022-10-21,MELI,Mercado Libre Transaction Index,Daily,0.1792736553089
2022-10-24,MELI,Mercado Libre Transaction Index,Daily,0.18270587329715715
2022-10-25,MELI,Mercado Libre Transaction Index,Daily,0.1861380912854143
2022-10-26,MELI,Mercado Libre Transaction Index,Daily,0.18957030927367144
2022-10-27,MELI,Mercado Libre Transaction Index,Daily,0.1930025272619286
2022-10-28,MELI,Mercado Libre Transaction Index,Daily,0.19643474525018573
2022-10-31,MELI,Mercado Libre Transaction Index,Daily,0.19986696323844289
2022-11-01,MELI,Mercado Libre Transaction Index,Daily,0.1713850411548454
2022-11-02,MELI,Mercado Libre Transaction Index,Daily,0.17210409825433534
2022-11-03,MELI,Mercado Libre Transaction Index,Daily,0.1728231553538253
2022-11-04,MELI,Mercado Libre Transaction Index,Daily,0.17354221245331525
2022-11-07,MELI,Mercado Libre Transaction Index,Daily,0.17426126955280521
2022-11-08,MELI,Mercado Libre Transaction Index,Daily,0.17498032665229518
2022-11-09,MELI,Mercado Libre Transaction Index,Daily,0.17569938375178515
2022-11-10,MELI,Mercado Libre Transaction Index,Daily,0.17641844085127512
2022-11-14,MELI,Mercado Libre Transaction Index,Daily,0.17713749795076508
2022-11-15,MELI,Mercado Libre Transaction Index,Daily,0.17785655505025505
2022-11-16,MELI,Mercado Libre Transaction Index,Daily,0.17857561214974496
2022-11-17,MELI,Mercado Libre Transaction Index,Daily,0.17929466924923496
2022-11-18,MELI,Mercado Libre Transaction Index,Daily,0.18001372634872492
2022-11-21,MELI,Mercado Libre Transaction Index,Daily,0.18073278344821486
2022-11-22,MELI,Mercado Libre Transaction Index,Daily,0.18145184054770483
2022-11-23,MELI,Mercado Libre Transaction Index,Daily,0.1821708976471948
2022-11-25,MELI,Mercado Libre Transaction Index,Daily,0.18288995474668476
2022-11-28,MELI,Mercado Libre Transaction Index,Daily,0.1836090118461747
2022-11-29,MELI,Mercado Libre Transaction Index,Daily,0.18432806894566467
